Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
Coming Soon - 07/18,414900,362390,339000,414000,0,5013 Lake Grove Blvd,3,3,2338,177,19,6970,Sqft,2007,70, ,https://www.movoto.com/home/5013-lake-grove-blvd-cary-nc-27519-413_2331776
Coming Soon - 07/17,449900,385594,379000,450000,0,204 Sunstone Dr,3,3,2062,218,20,2178,Sqft,2009,242, ,https://www.movoto.com/home/204-sunstone-dr-cary-nc-27519-413_2170590
FOR SALE,340000,328910,289000,382000,0,304 Wyatts Pond Ln,3,3,2122,160,20,0.29,Acres,1985,0, ,https://www.movoto.com/home/304-wyatts-pond-ln-cary-nc-27513-413_2331717
FOR SALE,439900,410817,371000,469000,10000,100 Queensferry Rd,4,3,2321,190,20,0.48,Acres,1978,8,Open 8/8,https://www.movoto.com/home/100-queensferry-rd-cary-nc-27511-413_2195485
FOR SALE,469900,480600,459000,502000,0,737 Toms Creek Rd,4,3,2670,176,21,0.25,Acres,2015,99,Open 8/9,https://www.movoto.com/home/737-toms-creek-rd-cary-nc-27519-413_2331416
FOR SALE,314900,264654,216000,315000,0,1128 Manchester Dr,3,2,1521,207,21,0.51,Acres,1975,0, ,https://www.movoto.com/home/1128-manchester-dr-cary-nc-27511-413_2331309
FOR SALE,469900,600964,469000,641000,0,360 Roberts Ridge Dr,5,4,3302,142,21,3485,Sqft,2017,140, ,https://www.movoto.com/home/360-roberts-ridge-dr-cary-nc-27513-413_2110526
FOR SALE,465000,493000,406000,563000,0,109 Overview Ln,4,3,2900,160,22,0.38,Acres,1979,29, ,https://www.movoto.com/home/109-overview-ln-cary-nc-27511-413_2331057
FOR SALE,499900,437410,384000,508000,10000,1623 Vineyard Mist Dr,3,3,2822,177,23,6970,Sqft,2017,240, ,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
FOR SALE,490000,441300,412000,491000,0,313 Millsfield Dr,5,3,2942,167,26,6534,Sqft,2006,56, ,https://www.movoto.com/home/313-millsfield-dr-cary-nc-27519-413_2330453
