Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
378000,393120,374000,435000,0,1040 Pemberly Ave,4,4,2340,162,Listed Today,8276,Sqft,2014,0,,https://www.movoto.com/home/1040-pemberly-ave-morrisville-nc-27560-413_2301596
379900,382080,373000,387000,0,1520 Alemany St,3,3,2388,159,21,3049,Sqft,2012,143,Open 8/8,https://www.movoto.com/home/1520-alemany-st-morrisville-nc-27560-413_2172936
380000,0,357000,443000,19000,1021 Urbana Dr #31,3,4,2217,171,125,2526,Sqft,2020,90,,https://www.movoto.com/home/1021-urbana-dr-apt-31-morrisville-nc-27560-413_2311854
387500,425362,378000,465000,10000,134 Prestonian Pl,3,3,2642,147,39,3920,Sqft,2000,206,,https://www.movoto.com/home/134-prestonian-pl-morrisville-nc-27560-413_2327714
389000,385734,347000,427000,0,100 Prestonian Pl,3,3,2426,160,3,3485,Sqft,1999,200,,https://www.movoto.com/home/100-prestonian-pl-morrisville-nc-27560-413_2286167
399900,451444,401000,494000,0,301 Kirkeenan Cir,4,4,2804,143,14,3485,Sqft,2007,97,,https://www.movoto.com/home/301-kirkeenan-cir-morrisville-nc-27560-413_2332780
405000,361712,301000,406000,5000,2212 Mayo Forest Ln,3,3,2444,166,37,0.30,Acres,2009,49,,https://www.movoto.com/home/2212-mayo-forest-ln-morrisville-nc-27560-413_2328170
410000,418001,393000,443000,0,404 Star Magnolia Dr,4,4,2503,164,17,6098,Sqft,2006,57,,https://www.movoto.com/home/404-star-magnolia-dr-morrisville-nc-27560-413_2267542
425000,421950,398000,453000,10000,1005 Craigmeade Dr,4,3,2425,175,88,4356,Sqft,2017,108,,https://www.movoto.com/home/1005-craigmeade-dr-morrisville-nc-27560-413_2318350
439000,524560,439000,556000,0,304 Star Magnolia Dr,4,4,3160,139,28,8276,Sqft,2003,57,,https://www.movoto.com/home/304-star-magnolia-dr-morrisville-nc-27560-413_2330021
449900,446004,397000,503000,15000,400 Star Magnolia Dr,4,3,2859,157,21,6098,Sqft,2006,57,,https://www.movoto.com/home/400-star-magnolia-dr-morrisville-nc-27560-413_2328907
450000,0,383000,499000,0,6325 Kit Creek Rd,4,3,3060,147,16,6098,Sqft,2005,70,,https://www.movoto.com/home/6325-kit-creek-rd-morrisville-nc-27560-413_2332227
450000,378184,367000,450000,15000,172 Cotten Dr,4,4,2306,195,83,3920,Sqft,2020,125,,https://www.movoto.com/home/172-cotten-dr-morrisville-nc-27560-413_2319420
454900,538772,456000,593000,0,1132 Survada Ln,5,4,3188,143,14,0.29,Acres,2013,70,,https://www.movoto.com/home/1132-survada-ln-morrisville-nc-27560-413_2172963
475000,442308,402000,491000,1000,140 Cotten Dr,4,4,2697,176,76,5663,Sqft,2021,125,,https://www.movoto.com/home/140-cotten-dr-morrisville-nc-27560-413_2320708
475000,460488,430000,482000,14000,206 Cotten Dr,4,4,2741,173,188,4792,Sqft,2020,125,,https://www.movoto.com/home/206-cotten-dr-morrisville-nc-27560-413_2299475
