Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,HOA,Open,Link
2020,399367,352761,341000,399000,6000,4217 Mahal Ave,3,3,1993,200,44,3920,Sqft,154,,https://www.movoto.com/home/4217-mahal-ave-cary-nc-27519-413_2326817
2020,424962,429312,414000,447000,4000,4219 Mahal Ave,3,3,2236,190,44,4356,Sqft,154,,https://www.movoto.com/home/4219-mahal-ave-cary-nc-27519-413_2326808
2020,355500,309952,245000,356000,2000,415 King Closer Dr,4,4,1856,192,44,1742,Sqft,154,,https://www.movoto.com/home/415-king-closer-dr-cary-nc-27519-413_2326786
2020,430590,434367,419000,484000,0,519 Gathering Park Cir #16,3,4,2601,166,45,2352,Sqft,261,,https://www.movoto.com/home/519-gathering-park-cir-apt-16-cary-nc-27519-413_2292545
2020,418145,439569,419000,484000,0,1709 Gathering Park Cir #12,3,4,2601,161,45,2396,Sqft,261,,https://www.movoto.com/home/1709-gathering-park-cir-apt-12-cary-nc-27519-413_2319980
2020,420525,455175,406000,502000,275,1707 Gathering Park Cir #11,3,4,2601,162,45,0.46,Acres,261,,https://www.movoto.com/home/1707-gathering-park-cir-apt-11-cary-nc-27519-413_2319958
2020,414005,413559,390000,421000,0,1703 Gathering Park Cir #9,3,4,2601,159,45,0.46,Acres,261,,https://www.movoto.com/home/1703-gathering-park-cir-apt-9-cary-nc-27519-413_2319869
2020,421675,455175,406000,502000,0,1705 Gathering Park Cir #10,3,4,2601,162,45,0.46,Acres,261,,https://www.movoto.com/home/1705-gathering-park-cir-apt-10-cary-nc-27519-413_2319891
2020,428095,455175,406000,502000,0,1701 Gathering Park Cir #8,3,4,2601,165,45,0.55,Acres,261,,https://www.movoto.com/home/1701-gathering-park-cir-apt-8-cary-nc-27519-413_2319814
2020,419990,351288,315000,420000,6000,108 Mazarin Ln #73,3,4,2142,196,52,1873,Sqft,141,,https://www.movoto.com/home/108-mazarin-ln-apt-73-cary-nc-27519-413_2325298
2020,339983,279792,256000,339000,2000,1608 Clayfire Dr,3,3,1608,211,58,2352,Sqft,154,,https://www.movoto.com/home/1608-clayfire-dr-cary-nc-27519-413_2324054
2020,339967,300948,256000,341000,3000,1606 Clayfire Dr,3,3,1618,210,58,2352,Sqft,154,,https://www.movoto.com/home/1606-clayfire-dr-cary-nc-27519-413_2324051
2020,399990,381276,345000,420000,3000,140 Mazarin Ln #63,4,4,2142,187,59,1873,Sqft,141,,https://www.movoto.com/home/140-mazarin-ln-lot-63-cary-nc-27519-413_2284298
2020,489900,464260,411000,539000,0,304 N West St,3,3,2780,176,69,6534,Sqft,0,,https://www.movoto.com/home/304-n-west-st-cary-nc-27513-413_2321937
2020,409900,387144,360000,428000,10000,805 Churton Pl,3,3,1698,241,87,3049,Sqft,180,,https://www.movoto.com/home/805-churton-pl-cary-nc-27539-413_2318575
2020,465000,552296,465000,577000,0,809 Churton Pl,3,3,2227,209,87,4792,Sqft,180,,https://www.movoto.com/home/809-churton-pl-cary-nc-27539-413_2318565
2020,439900,424992,395000,470000,4000,801 Churton Pl,3,3,1864,236,87,5227,Sqft,180,,https://www.movoto.com/home/801-churton-pl-cary-nc-27539-413_2318560
2020,399990,419832,386000,473000,9000,306 Clementine Dr #LOT 3,3,4,2142,187,113,4356,Sqft,141,,https://www.movoto.com/home/306-clementine-dr-lot-3-cary-nc-27519-413_2313794
2020,409190,385728,372000,410000,800,4213 Mahal Ave,3,3,2009,204,114,3920,Sqft,154,,https://www.movoto.com/home/4213-mahal-ave-cary-nc-27519-413_2313583
2020,419453,426930,398000,449000,6000,4215 Mahal Ave,3,3,2247,187,114,3920,Sqft,154,,https://www.movoto.com/home/4215-mahal-ave-cary-nc-27519-413_2313571
2020,474990,436100,401000,492000,0,125 Mazarin Ln #LOT 80,3,3,2225,213,121,4356,Sqft,134,,https://www.movoto.com/home/125-mazarin-ln-lot-80-cary-nc-27519-413_2312528
2020,369990,348690,337000,370000,10000,1114 Brickfield Dr,4,4,1970,188,133,3049,Sqft,154,,https://www.movoto.com/home/1114-brickfield-dr-cary-nc-27519-413_2310394
