Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,unit,Year,HOA,Open,Link
1889,367200,362688,349000,378000,2000,411 King Closer Dr,4,4,194,11,4356,Sqft,2020,154,,https://www.movoto.com/home/411-king-closer-dr-cary-nc-27519-413_2333422
1856,364948,358208,349000,371000,0,4210 Mahal Ave,3,3,197,Listed Today,1742,Sqft,2020,154,,https://www.movoto.com/home/4210-mahal-ave-cary-nc-27519-413_2335931
1841,275000,0,274000,361000,0,543 Berry Chase Way,3,4,149,1,1307,Sqft,2013,175,Open 8/8,https://www.movoto.com/home/543-berry-chase-way-cary-nc-27519-413_2335424
1824,459900,403104,387000,460000,17000,813 Churton Pl,3,2,252,19,5009,Sqft,2020,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
1805,320000,319485,303000,338000,0,308 Caraway Ln,3,3,177,1,0.26,Acres,1997,27,,https://www.movoto.com/home/308-caraway-ln-cary-nc-27519-413_2335407
1750,318580,308000,298000,327000,0,307 Page Square Dr,3,4,182,38,1742,Sqft,2020,152,,https://www.movoto.com/home/307-page-square-dr-cary-nc-27513-413_2328097
1700,325000,312800,267000,359000,4000,204 Skyros Loop,3,3,191,34,2178,Sqft,2013,91,,https://www.movoto.com/home/204-skyros-loop-cary-nc-27519-413_2329008
1532,315000,268100,257000,316000,0,104 Maple Hill Dr,3,3,206,32,7841,Sqft,1995,47,,https://www.movoto.com/home/104-maple-hill-dr-cary-nc-27519-413_2183251
1521,314900,263133,216000,315000,0,1128 Manchester Dr,3,2,207,22,0.51,Acres,1975,0,,https://www.movoto.com/home/1128-manchester-dr-cary-nc-27511-413_2331309
1515,290000,260580,242000,289000,0,1436 Lake Pine Dr,4,2,191,Listed Today,0.40,Acres,1980,0,,https://www.movoto.com/home/1436-lake-pine-dr-cary-nc-27511-413_2335999
