status,price,estimated,min,max,reduced,address,city,state,zip,beds,baths,size,value,days,lot,unit,year,hoa,open,link
FOR SALE,465000,481400,412000,534000,0,109 Overview Ln,Cary,NC,27519,4,3,2900,160,19,0.38,Acres,1979,29, ,https://www.movoto.com/home/109-overview-ln-cary-nc-27511-413_2331057
FOR SALE,499900,578510,499000,641000,10,1623 Vineyard Mist Dr,Cary,NC,27519,3,3,2822,177,20,6970,Sqft,2017,240, ,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
FOR SALE,490000,453068,421000,491000,0,313 Millsfield Dr,Cary,NC,27519,5,3,2942,167,23,6534,Sqft,2006,56, ,https://www.movoto.com/home/313-millsfield-dr-cary-nc-27519-413_2330453
FOR SALE,375000,0,304000,434000,0,116 Silverridge Ct,Cary,NC,27519,4,4,2413,155,23,0.30,Acres,1992,14, ,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
FOR SALE,489000,453560,419000,488000,10,213 Oakmere Dr,Cary,NC,27519,3,4,2668,183,24,0.26,Acres,2018,78, ,https://www.movoto.com/home/213-oakmere-dr-cary-nc-27513-413_2330095
FOR SALE,283999,298678,281000,313000,2,134 Braeside Ct,Cary,NC,27519,4,4,1978,144,25,1307,Sqft,2006,155, ,https://www.movoto.com/home/134-braeside-ct-cary-nc-27519-413_2329885
FOR SALE,500000,0,370000,692000,0,1646 Vineyard Mist Dr,Cary,NC,27519,3,3,2553,196,25,7057,Sqft,2018,242, ,https://www.movoto.com/home/1646-vineyard-mist-dr-cary-nc-27519-413_2329876
FOR SALE,458000,445025,417000,476000,0,203 Hickorywood Blvd,Cary,NC,27519,4,3,2543,180,25,0.31,Acres,1998,55, ,https://www.movoto.com/home/203-hickorywood-blvd-cary-nc-27519-413_2329844
FOR SALE,365000,0,334000,382000,0,120 Franklin Hills Pt,Cary,NC,27519,3,3,2113,173,25,0.28,Acres,2007,187, ,https://www.movoto.com/home/120-franklin-hills-pt-cary-nc-27519-413_2329783
FOR SALE,468000,527193,453000,577000,7,106 Scots Fir Ln,Cary,NC,27519,4,3,3083,152,27,9148,Sqft,1999,50, ,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
FOR SALE,470000,400218,365000,471000,15,705 Modena Dr,Cary,NC,27519,3,3,2199,214,28,0.70,Acres,1995,0, ,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
FOR SALE,315000,284952,274000,316000,0,104 Maple Hill Dr,Cary,NC,27519,3,3,1532,206,28,7841,Sqft,1995,47, ,https://www.movoto.com/home/104-maple-hill-dr-cary-nc-27519-413_2183251
FOR SALE,491540,424057,408000,492000,7,117 Parkcrest Dr,Cary,NC,27519,5,3,2701,182,29,10454,Sqft,1992,53, ,https://www.movoto.com/home/117-parkcrest-dr-cary-nc-27519-413_2329047
FOR SALE,325000,260100,219000,325000,4,204 Skyros Loop,Cary,NC,27519,3,3,1700,191,30,2178,Sqft,2013,91, ,https://www.movoto.com/home/204-skyros-loop-cary-nc-27519-413_2329008
FOR SALE,400000,427154,364000,493000,0,316 Tweed Cir,Cary,NC,27519,3,3,2347,170,30,4356,Sqft,1985,340, ,https://www.movoto.com/home/316-tweed-cir-cary-nc-27511-413_2325306
FOR SALE,287500,256225,213000,296000,2,106 Tayport Ct,Cary,NC,27519,3,2,1385,208,31,0.78,Acres,1978,0, ,https://www.movoto.com/home/106-tayport-ct-cary-nc-27511-413_2328936
FOR SALE,339900,372400,321000,414000,0,247 Joshua Glen Ln,Cary,NC,27519,4,3,1900,179,33,3920,Sqft,2004,185, ,https://www.movoto.com/home/247-joshua-glen-ln-cary-nc-27519-413_2328295
FOR SALE,318580,308000,298000,327000,0,307 Page Square Dr,Cary,NC,27519,3,4,1750,182,34,1742,Sqft,2020,152, ,https://www.movoto.com/home/307-page-square-dr-cary-nc-27513-413_2328097
FOR SALE,360000,367971,304000,432000,9,1304 Lake Pine Dr,Cary,NC,27519,4,2,2127,169,34,0.33,Acres,1973,0, ,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
FOR SALE,414990,393536,360000,438000,4,110 Mazarin Ln #72,Cary,NC,27519,4,4,2236,186,34,1873,Sqft,2020,141, ,https://www.movoto.com/home/110-mazarin-ln-apt-72-cary-nc-27519-413_2327963
FOR SALE,414005,413559,390000,421000,0,1703 Gathering Park Cir #9,Cary,NC,27519,3,4,2601,159,42,0.46,Acres,2020,261, ,https://www.movoto.com/home/1703-gathering-park-cir-apt-9-cary-nc-27519-413_2319869
FOR SALE,337900,285692,252000,350000,6,2032 Chipley Dr,Cary,NC,27519,3,3,1892,179,192,2004,Sqft,2020,135, ,https://www.movoto.com/home/2032-chipley-dr-cary-nc-27519-413_2298176
FOR SALE,495000,426400,317000,504000,50,109 Putney Dr,Cary,NC,27519,4,3,2600,190,203,8015,Sqft,2021,40, ,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
FOR SALE,398000,0,294000,459000,6,4000 Jockey Club Cir,Cary,NC,27519,4,3,2164,184,216,5227,Sqft,2007,83, ,https://www.movoto.com/home/4000-jockey-club-cir-cary-nc-27519-413_2287124
FOR SALE,500000,525042,473000,638000,30,926 Regency Cottage Pl #LOT 117,Cary,NC,27519,4,4,3241,154,235,4356,Sqft,2020,265, ,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
FOR SALE,345990,337310,267000,364000,4,1016 Salt Glaze Ln,Cary,NC,27519,4,4,1895,183,241,1525,Sqft,2019,154, ,https://www.movoto.com/home/1016-salt-glaze-ln-cary-nc-27519-413_2291805
FOR SALE,375190,391986,345000,420000,1,318 Clementine Dr #LOT 8,Cary,NC,27519,4,4,2142,175,292,1786,Sqft,2019,141, ,https://www.movoto.com/home/318-clementine-dr-lot-8-cary-nc-27519-413_2284245
FOR SALE,379900,410956,355000,434000,12,2046 Chipley Dr,Cary,NC,27519,3,3,2258,168,442,2439,Sqft,2019,135, ,https://www.movoto.com/home/2046-chipley-dr-cary-nc-27519-413_2255991
FOR SALE,415000,588120,414000,689000,17,1133 Evans Rd,Cary,NC,27519,5,3,3480,119,1576,0.97,Acres,1965,0, ,https://www.movoto.com/home/1133-evans-rd-cary-nc-27513-413_2060271
FOR SALE,424900,579200,426000,602000,0,721 Quartz Crystal Pl,Cary,NC,27519,5,4,3200,133,1901,0.28,Acres,2006,111, ,https://www.movoto.com/home/721-quartz-crystal-pl-cary-nc-27519-413_2009117
