Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
IN CONTRACT,300000,235755,202000,300000,,1435 Huntly Ct,3,2,1395,215,14,0.40,Acres,1978,0, ,https://www.movoto.com/home/1435-huntly-ct-cary-nc-27511-413_2236980
IN CONTRACT,469900,595520,469000,670000,,205 King George Loop,5,4,3722,,,,,,, ,https://www.movoto.com/home/205-king-george-loop-cary-nc-27511-413_2337383
SALE PENDING,215000,211680,196000,245000,,228 Blackbird Ct,3,3,1440,149,19,1307,Sqft,1999,81, ,https://www.movoto.com/home/228-blackbird-ct-cary-nc-27511-413_2337353
SALE PENDING,245000,228225,173000,268000,,1218 Selwyn Ln,3,2,1275,192,20,7405,Sqft,1978,28, ,https://www.movoto.com/home/1218-selwyn-ln-cary-nc-27511-413_2337111
SALE PENDING,289900,256200,227000,290000,,103 Tayport Ct,3,2,1400,207,20,0.40,Acres,2012,0, ,https://www.movoto.com/home/103-tayport-ct-cary-nc-27511-413_2337031
IN CONTRACT,313000,,282000,349000,,112 Coatbridge Cir,3,3,1762,178,21,0.30,Acres,1979,0, ,https://www.movoto.com/home/112-coatbridge-cir-cary-nc-27511-413_2336924
IN CONTRACT,273500,,225000,283000,,306 Two Creeks Rd,3,2,1387,197,21,9583,Sqft,1977,28, ,https://www.movoto.com/home/306-two-creeks-rd-cary-nc-27511-413_2336796
SALE PENDING,333000,312578,258000,377000,,1534 Dirkson Ct,4,3,1883,,,,,,, ,https://www.movoto.com/home/1534-dirkson-ct-cary-nc-27511-413_2336513
IN CONTRACT,264998,240126,209000,265000,,103 Glen Bonnie Ln,3,2,1291,205,24,9583,Sqft,1979,28, ,https://www.movoto.com/home/103-glen-bonnie-ln-cary-nc-27511-413_2336222
IN CONTRACT,290000,256035,220000,303000,,1436 Lake Pine Dr,4,2,1515,191,27,0.40,Acres,1980,0, ,https://www.movoto.com/home/1436-lake-pine-dr-cary-nc-27511-413_2335999
IN CONTRACT,325000,357561,303000,418000,5000,1217 Wellington Ln,4,3,2091,155,28,0.43,Acres,1973,0, ,https://www.movoto.com/home/1217-wellington-ln-cary-nc-27511-413_2335524
IN CONTRACT,325000,299848,276000,338000,,111 Leeward Ct,3,3,2026,160,31,6534,Sqft,1987,14, ,https://www.movoto.com/home/111-leeward-ct-cary-nc-27511-413_2334902
SALE PENDING,299900,335793,281000,388000,,1203 Pond St,4,3,1941,155,35,0.48,Acres,1964,0, ,https://www.movoto.com/home/1203-pond-st-cary-nc-27511-413_2334229
IN CONTRACT,329900,,284000,392000,,902 Pamlico Dr,4,3,1962,168,36,0.59,Acres,1964,0, ,https://www.movoto.com/home/902-pamlico-dr-cary-nc-27511-413_2333896
SALE PENDING,349900,317148,279000,350000,,122 Flora Mcdonald Ln,3,3,2033,172,36,0.33,Acres,1979,28, ,https://www.movoto.com/home/122-flora-mcdonald-ln-cary-nc-27511-413_2333750
IN CONTRACT,425000,407330,347000,506000,,1416 Kildaire Farm Rd,4,3,2530,168,37,0.35,Acres,1979,4, ,https://www.movoto.com/home/1416-kildaire-farm-rd-cary-nc-27511-413_2333726
SALE PENDING,375000,389714,316000,461000,,106 Farren Ct,3,3,2306,,,,,,, ,https://www.movoto.com/home/106-farren-ct-cary-nc-27511-pid_7opy43b5jh
IN CONTRACT,208000,199795,175000,224000,,112 Charter Ct,3,3,1289,,,,,,, ,https://www.movoto.com/home/112-charter-ct-cary-nc-27511-413_2333526
IN CONTRACT,289900,311344,283000,361000,,1211 Selwyn Ln,3,2,1769,164,40,0.25,Acres,1978,28, ,https://www.movoto.com/home/1211-selwyn-ln-cary-nc-27511-pid_gopy43b5jh
IN CONTRACT,460000,469120,393000,539000,,105 Sedgman Ct,4,3,2932,,,,,,, ,https://www.movoto.com/home/105-sedgman-ct-cary-nc-27511-413_2331830
SALE PENDING,289000,304110,265000,334000,6000,207 Cape Cod Dr,3,3,1635,177,47,10019,Sqft,1994,14, ,https://www.movoto.com/home/207-cape-cod-dr-cary-nc-27511-413_2331757
SALE PENDING,295000,259700,237000,295000,,1812 Tarbert Dr,3,2,1484,199,48,0.27,Acres,1977,0, ,https://www.movoto.com/home/1812-tarbert-dr-cary-nc-27511-413_2169702
IN CONTRACT,280000,376356,281000,426000,20000,454 Pebble Creek Dr,3,4,2382,,,,,,, ,https://www.movoto.com/home/454-pebble-creek-dr-cary-nc-27511-413_2331511
IN CONTRACT,425000,355113,337000,425000,15000,100 Queensferry Rd,4,3,2321,183,48,0.48,Acres,1978,8, ,https://www.movoto.com/home/100-queensferry-rd-cary-nc-27511-413_2195485
SALE PENDING,314900,232713,221000,315000,,1128 Manchester Dr,3,2,1521,207,49,0.51,Acres,1975,0, ,https://www.movoto.com/home/1128-manchester-dr-cary-nc-27511-413_2331309
SALE PENDING,465000,493000,421000,522000,,109 Overview Ln,4,3,2900,,,,,,, ,https://www.movoto.com/home/109-overview-ln-cary-nc-27511-413_2331057
SALE PENDING,274900,271206,240000,296000,10000,1203 Gatehouse Dr,3,2,1482,185,50,0.37,Acres,1976,0, ,https://www.movoto.com/home/1203-gatehouse-dr-cary-nc-27511-413_2330957
IN CONTRACT,400000,349703,319000,399000,,316 Tweed Cir,3,3,2347,170,61,4356,Sqft,1985,340, ,https://www.movoto.com/home/316-tweed-cir-cary-nc-27511-413_2325306
IN CONTRACT,287500,355945,235000,623000,2000,106 Tayport Ct,3,2,1385,208,62,0.78,Acres,1978,0, ,https://www.movoto.com/home/106-tayport-ct-cary-nc-27511-413_2328936
SALE PENDING,309000,,305000,328000,10000,216 Harbor Creek Dr,4,3,2244,,,,,,, ,https://www.movoto.com/home/216-harbor-creek-dr-cary-nc-27511-413_2169472
SALE PENDING,335900,,325000,415000,3000,1051 Dunsford Pl,5,3,2369,,,,,,, ,https://www.movoto.com/home/1051-dunsford-pl-cary-nc-27511-413_2322706
IN CONTRACT,282400,313900,282000,359000,3000,106 Silver Fox Ct,4,2,2150,131,116,6098,Sqft,1987,14, ,https://www.movoto.com/home/106-silver-fox-ct-cary-nc-27511-413_2239594
IN CONTRACT,382500,346620,296000,453000,5000,110 Prestwick Pl,3,3,2180,175,189,3049,Sqft,1984,340, ,https://www.movoto.com/home/110-prestwick-pl-cary-nc-27511-413_2261077
