Days,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Lot,Unit,Year,HOA,Open,Link
24,483990,421512,399000,484000,13000,2977 Mavisbank Cir,3,4,2509,193,9409,Sqft,2020,69,,https://www.movoto.com/home/2977-mavisbank-cir-apex-nc-27502-413_2333208
25,436425,419328,382000,473000,5000,1907 Kings Knot Ct #123,4,4,2688,162,4051,Sqft,2020,69,,https://www.movoto.com/home/1907-kings-knot-ct-apt-123-apex-nc-27502-413_2332987
25,399900,,400000,446000,,101 Sharp Top Trl,4,3,2856,140,5227,Sqft,2008,37,,https://www.movoto.com/home/101-sharp-top-trl-apex-nc-27502-413_2332857
29,330900,312018,297000,331000,1000,1604 Brussels Dr #20,3,3,1938,171,2614,Sqft,2020,100,,https://www.movoto.com/home/1604-brussels-dr-apt-20-apex-nc-27502-413_2332116
29,330900,347921,322000,370000,1000,1606 Brussels Dr #19,3,3,2161,153,2614,Sqft,2020,100,,https://www.movoto.com/home/1606-brussels-dr-apt-19-apex-nc-27502-413_2332107
29,340900,344960,321000,369000,1000,1610 Brussels Dr #17,3,3,2156,158,3049,Sqft,2020,100,,https://www.movoto.com/home/1610-brussels-dr-apt-17-apex-nc-27502-413_2332091
29,425000,447507,408000,536000,,1002 Towhee Dr,3,3,2617,162,8712,Sqft,2008,32,,https://www.movoto.com/home/1002-towhee-dr-apex-nc-27502-413_2331968
,299900,299442,297000,299000,8000,1123 Diamond Dove Ln #157,4,4,2094,,,,,,,https://www.movoto.com/home/1123-diamond-dove-ln-apt-157-apex-nc-27502-413_2331624
32,307000,293265,261000,307000,3000,503 S Coalport Dr,3,3,1715,179,0.47,Acres,1998,32,,https://www.movoto.com/home/503-s-coalport-dr-apex-nc-27502-413_2188379
32,299900,299442,297000,299000,9000,1121 Diamond Dove Ln #156,4,4,2094,143,1742,Sqft,2020,140,,https://www.movoto.com/home/1121-diamond-dove-ln-apt-156-apex-nc-27502-413_2331592
32,304900,303446,301000,306000,5000,1046 Brownsmith Dr,4,4,2122,144,1742,Sqft,2018,119,,https://www.movoto.com/home/1046-brownsmith-dr-apex-nc-27502-413_2196180
32,299900,299442,297000,299000,11000,1117 Diamond Dove Ln #154,4,4,2094,143,1742,Sqft,2020,140,,https://www.movoto.com/home/1117-diamond-dove-ln-apt-154-apex-nc-27502-413_2331557
,299900,301587,299000,302000,11000,1115 Diamond Dove Ln #153,4,4,2109,,,,,,,https://www.movoto.com/home/1115-diamond-dove-ln-apt-153-apex-nc-27502-413_2331534
32,420000,,420000,552000,9000,1004 Towhee Dr,4,3,2695,156,8276,Sqft,2000,32,Open 8/23,https://www.movoto.com/home/1004-towhee-dr-apex-nc-27502-413_2134387
32,359900,391380,361000,425000,,1002 Chickering Ct,3,3,2372,152,0.35,Acres,2003,15,,https://www.movoto.com/home/1002-chickering-ct-apex-nc-27502-413_2331405
34,308790,328812,304000,354000,,1397 Herb Garden Way,4,4,2068,149,2614,Sqft,2020,199,,https://www.movoto.com/home/1397-herb-garden-way-apex-nc-27502-413_2331091
,303790,335016,304000,383000,,1395 Herb Garden Way,4,4,2068,,,,,,,https://www.movoto.com/home/1395-herb-garden-way-apex-nc-27502-413_2331088
,349710,371588,339000,427000,5000,1282 Barn Cat Way Lot 212- Gibbons 3 #LOT 212- GIBBONS 3,4,4,2308,,,,,,,https://www.movoto.com/home/1282-barn-cat-way-lot-212-gibbons-3-lot-212-gibbons-3-apex-nc-27502-413_2330973
35,323900,329574,318000,359000,12000,1111 Diamond Dove Ln #151,4,4,2242,144,1742,Sqft,2020,140,,https://www.movoto.com/home/1111-diamond-dove-ln-apt-151-apex-nc-27502-413_2330720
,299900,301587,299000,302000,9000,1119 Diamond Dove Ln #155,4,4,2109,,,,,,,https://www.movoto.com/home/1119-diamond-dove-ln-apt-155-apex-nc-27502-413_2330713
36,350000,,346000,390000,9000,2041 Ackerman Hill Dr,3,4,2438,144,1742,Sqft,2018,119,,https://www.movoto.com/home/2041-ackerman-hill-dr-apex-nc-27502-413_2330539
38,474990,521304,473000,578000,10000,2985 Mavisbank Cir,3,4,2996,159,7841,Sqft,2020,69,,https://www.movoto.com/home/2985-mavisbank-cir-apex-nc-27502-413_2330449
39,325000,316820,312000,326000,4000,1034 Brownsmith Dr,4,4,2170,150,2178,Sqft,2017,119,,https://www.movoto.com/home/1034-brownsmith-dr-apex-nc-27502-413_2330304
39,286900,251412,225000,288000,6000,815 Homestead Park Dr,3,3,1533,187,6534,Sqft,1999,13,,https://www.movoto.com/home/815-homestead-park-dr-apex-nc-27502-413_2321004
,299900,,297000,299000,12000,1113 Diamond Dove Ln #152,4,4,2094,,,,,,,https://www.movoto.com/home/1113-diamond-dove-ln-apt-152-apex-nc-27502-413_2329977
40,347595,351789,342000,361000,5000,1290 Barn Cat Way,4,4,2361,147,2439,Sqft,2020,199,,https://www.movoto.com/home/1290-barn-cat-way-apex-nc-27502-413_2329871
,319900,317115,313000,330000,,697 Grand Central Sta #135,3,4,2187,,,,,,,https://www.movoto.com/home/697-grand-central-sta-apt-135-apex-nc-27502-413_2329811
40,334900,320885,316000,334000,,699 Grand Central Sta #136,3,4,2213,151,1742,Sqft,2020,163,,https://www.movoto.com/home/699-grand-central-sta-apt-136-apex-nc-27502-413_2329799
,270000,255074,224000,294000,2000,921 Homestead Park Dr,3,2,1433,,,,,,,https://www.movoto.com/home/921-homestead-park-dr-apex-nc-27502-413_2329717
42,314900,320305,316000,329000,,655 Grand Central Sta #118,3,4,2209,143,1307,Sqft,2020,163,Open 8/21,https://www.movoto.com/home/655-grand-central-sta-apt-118-apex-nc-27502-413_2329433
42,449987,425340,395000,475000,2000,2951 Lemnos Dr,5,3,2780,162,5663,Sqft,2020,65,,https://www.movoto.com/home/2951-lemnos-dr-apex-nc-27502-413_2329407
43,316000,306600,300000,315000,,1021 Drayman Pl,3,4,2100,150,2178,Sqft,2018,119,,https://www.movoto.com/home/1021-drayman-pl-apex-nc-27502-413_2308397
46,375000,334620,293000,392000,5000,990 Shoofly Path,3,3,1980,189,4356,Sqft,2013,83,,https://www.movoto.com/home/990-shoofly-path-apex-nc-27502-413_2125922
46,331290,336277,327000,347000,3000,2804 Dallas Valley Ln #81,4,4,2227,149,2091,Sqft,2020,125,,https://www.movoto.com/home/2804-dallas-valley-ln-apt-81-apex-nc-27502-413_2328861
46,324790,336528,325000,345000,3000,2806 Dallas Valley Ln #80,4,4,2214,147,2091,Sqft,2020,125,,https://www.movoto.com/home/2806-dallas-valley-ln-apt-80-apex-nc-27502-413_2328858
,338240,323032,319000,338000,3000,2808 Dallas Valley Ln #79,4,4,2168,,,,,,,https://www.movoto.com/home/2808-dallas-valley-ln-apt-79-apex-nc-27502-413_2328855
46,315000,318843,308000,325000,5000,1009 Drayman Pl,3,4,2169,145,2178,Sqft,2018,119,,https://www.movoto.com/home/1009-drayman-pl-apex-nc-27502-413_2324281
47,480000,490100,458000,525000,,1601 Tinos Overlook Way,4,4,2900,166,7841,Sqft,2017,65,,https://www.movoto.com/home/1601-tinos-overlook-way-apex-nc-27502-413_2089427
51,389900,332700,315000,390000,5000,2123 Gregor Overlook Ln,3,3,2218,176,4617,Sqft,2018,53,,https://www.movoto.com/home/2123-gregor-overlook-ln-apex-nc-27502-413_2200126
53,390000,442750,391000,484000,10000,2783 Milano Ave,3,3,2750,142,4792,Sqft,2016,77,,https://www.movoto.com/home/2783-milano-ave-apex-nc-27502-413_2327306
55,287500,324392,275000,361000,2000,108 Shining Star Ct,3,3,1763,163,7405,Sqft,1999,13,Open 8/23,https://www.movoto.com/home/108-shining-star-ct-apex-nc-27502-413_2326943
,449973,488592,449000,516000,4000,2900 Patmos Island Dr,5,3,3016,,,,,,,https://www.movoto.com/home/2900-patmos-island-dr-apex-nc-27502-413_2326758
57,326950,343476,292000,373000,8000,1805 Misty Hollow Ln,4,3,1974,166,8712,Sqft,1995,54,,https://www.movoto.com/home/1805-misty-hollow-ln-apex-nc-27502-413_2326437
59,449900,522543,451000,560000,10000,1203 Anora Dr,6,4,3129,144,0.26,Acres,1996,40,,https://www.movoto.com/home/1203-anora-dr-apex-nc-27502-413_2326278
62,329900,320885,316000,334000,,671 Grand Central Sta #125,3,4,2213,149,1742,Sqft,2020,163,,https://www.movoto.com/home/671-grand-central-sta-apt-125-apex-nc-27502-413_2325584
63,448480,486324,447000,513000,800,1513 Tinos Overlook Way,5,3,3002,149,6098,Sqft,2020,65,,https://www.movoto.com/home/1513-tinos-overlook-way-apex-nc-27502-413_2187043
64,329000,325200,319000,338000,,2849 Dallas Valley Ln #51,3,4,2168,152,1873,Sqft,2020,125,Open 8/19,https://www.movoto.com/home/2849-dallas-valley-ln-apt-51-apex-nc-27502-413_2325148
,418910,367214,334000,439000,800,2970 Lemnos Dr,3,3,2063,,,,,,,https://www.movoto.com/home/2970-lemnos-dr-apex-nc-27502-413_2323945
76,317400,322045,318000,331000,,673 Grand Central Sta #126,3,4,2221,143,1307,Sqft,2020,163,,https://www.movoto.com/home/673-grand-central-sta-apt-126-apex-nc-27502-413_2322694
76,375000,423846,376000,480000,5000,991 Myrtle Grove Ln,3,3,2538,148,3485,Sqft,2017,176,,https://www.movoto.com/home/991-myrtle-grove-ln-apex-nc-27502-413_2322609
78,499000,515406,474000,563000,,1503 Thassos Dr,5,4,3162,158,7405,Sqft,2016,49,,https://www.movoto.com/home/1503-thassos-dr-apex-nc-27502-413_2261041
87,464900,529092,464000,617000,5000,1596 Tice Hurst Ln,5,4,3266,142,7405,Sqft,2013,69,,https://www.movoto.com/home/1596-tice-hurst-ln-apex-nc-27502-413_2320897
,345900,,321000,369000,2000,1482 Salem Creek Dr #24,3,3,2156,,,,,,,https://www.movoto.com/home/1482-salem-creek-dr-apt-24-apex-nc-27502-413_2320205
90,350000,,336000,361000,1000,1488 Salem Creek Dr #21,3,3,2284,153,2614,Sqft,2020,100,,https://www.movoto.com/home/1488-salem-creek-dr-apt-21-apex-nc-27502-413_2320202
,350000,410400,350000,492000,10000,2307 Brasstown Ln,3,3,2400,,,,,,,https://www.movoto.com/home/2307-brasstown-ln-apex-nc-27502-413_2320109
,414990,349868,309000,415000,12000,2900 Mavisbank Cir #376,3,2,1861,,,,,,,https://www.movoto.com/home/2900-mavisbank-cir-apt-376-apex-nc-27502-413_2316216
,449000,664884,450000,726000,10000,7824 Humie Olive Rd,4,4,3212,,,,,,,https://www.movoto.com/home/7824-humie-olive-rd-apex-nc-27502-413_2085583
,327000,363584,326000,413000,3000,1201 Rainesview Ln,3,3,1976,,,,,,,https://www.movoto.com/home/1201-rainesview-ln-apex-nc-27502-413_2313610
152,389900,,391000,426000,5000,4027 Winecott Dr,4,3,2537,154,10019,Sqft,1999,33,,https://www.movoto.com/home/4027-winecott-dr-apex-nc-27502-413_2308956
167,439000,405620,384000,439000,10000,109 W Holleman St,5,2,2386,184,10454,Sqft,1945,0,,https://www.movoto.com/home/109-w-holleman-st-apex-nc-27502-413_2305444
206,499990,581526,449000,640000,25000,1715 Aberdour Dr #444,4,4,2937,170,0.38,Acres,2020,69,,https://www.movoto.com/home/1715-aberdour-dr-apt-444-apex-nc-27502-413_2281260
216,494610,511336,476000,565000,2000,1530 Armscroft Ln,5,3,3176,156,7405,Sqft,2019,66,,https://www.movoto.com/home/1530-armscroft-ln-apex-nc-27502-413_2296619
216,497855,530613,493000,562000,1000,3048 Portland Ave,5,3,3103,160,8712,Sqft,2019,66,,https://www.movoto.com/home/3048-portland-ave-apex-nc-27502-413_2296521
221,499990,556348,500000,596000,8000,1408 Tinos Overlook Way,6,5,3292,152,8276,Sqft,2020,65,,https://www.movoto.com/home/1408-tinos-overlook-way-apex-nc-27502-413_2295753
