Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,Unit,Year,HOA,Open,Link
2780,449987,414220,395000,450000,2000,2951 Lemnos Dr,5,3,162,41,5663,Sqft,2020,65,,https://www.movoto.com/home/2951-lemnos-dr-apex-nc-27502-413_2329407
2750,390000,434500,391000,446000,10000,2783 Milano Ave,3,3,142,52,4792,Sqft,2016,77,,https://www.movoto.com/home/2783-milano-ave-apex-nc-27502-413_2327306
2727,425000,458136,404000,559000,,230 Garden Plaza Way,4,3,156,10,6970,Sqft,2003,26,,https://www.movoto.com/home/230-garden-plaza-way-apex-nc-27502-413_2335700
2724,499900,473976,425000,512000,5000,2321 Swansea Ln,5,3,184,18,6970,Sqft,2018,60,,https://www.movoto.com/home/2321-swansea-ln-apex-nc-27502-413_2196837
2695,420000,,420000,552000,9000,1004 Towhee Dr,4,3,156,31,8276,Sqft,2000,32,,https://www.movoto.com/home/1004-towhee-dr-apex-nc-27502-413_2134387
2688,436425,395136,371000,435000,5000,1907 Kings Knot Ct #123,4,4,,,,,,,,https://www.movoto.com/home/1907-kings-knot-ct-apt-123-apex-nc-27502-413_2332987
2688,418170,416640,382000,435000,14000,2941 Baronial St,4,3,156,25,4966,Sqft,2020,69,,https://www.movoto.com/home/2941-baronial-st-apex-nc-27502-413_2332807
2688,410980,405888,382000,435000,5000,2949 Baronial St #208,4,3,153,25,4356,Sqft,2020,69,,https://www.movoto.com/home/2949-baronial-st-apt-208-apex-nc-27502-413_2332757
2643,452675,414951,394000,452000,,3172 Mavisbank Cir,3,3,171,7,6534,Sqft,2020,69,,https://www.movoto.com/home/3172-mavisbank-cir-apex-nc-27502-413_2336155
2643,439990,417594,394000,452000,,1899 Rothesay Dr,3,3,,,,,,,,https://www.movoto.com/home/1899-rothesay-dr-apex-nc-27502-413_2336145
2617,425000,450124,408000,536000,,1002 Towhee Dr,3,3,162,28,8712,Sqft,2008,32,,https://www.movoto.com/home/1002-towhee-dr-apex-nc-27502-413_2331968
2608,360000,383376,360000,394000,,529 Metro Sta,4,4,138,10,1742,Sqft,2017,163,,https://www.movoto.com/home/529-metro-sta-apex-nc-27502-413_2335871
2538,375000,390852,350000,421000,5000,991 Myrtle Grove Ln,3,3,148,75,3485,Sqft,2017,176,,https://www.movoto.com/home/991-myrtle-grove-ln-apex-nc-27502-413_2322609
2526,450000,389004,336000,452000,,1014 Brittley Way,4,3,178,3,10454,Sqft,1996,80,,https://www.movoto.com/home/1014-brittley-way-apex-nc-27502-pid_bjvx43b5jh
2518,358000,397844,358000,443000,,2810 Crowders Ridge Ln,3,4,142,3,3746,Sqft,2017,167,,https://www.movoto.com/home/2810-crowders-ridge-ln-apex-nc-27502-413_2239140
2509,483990,411476,371000,484000,13000,2977 Mavisbank Cir,3,4,193,23,9409,Sqft,2020,69,,https://www.movoto.com/home/2977-mavisbank-cir-apex-nc-27502-413_2333208
2438,358900,,346000,390000,27000,2041 Ackerman Hill Dr,3,4,147,35,1742,Sqft,2018,119,,https://www.movoto.com/home/2041-ackerman-hill-dr-apex-nc-27502-413_2330539
2400,350000,412800,350000,492000,10000,2307 Brasstown Ln,3,3,146,90,7841,Sqft,2002,39,,https://www.movoto.com/home/2307-brasstown-ln-apex-nc-27502-413_2320109
2395,385000,390385,345000,429000,5000,1930 White Dogwood Rd,4,3,161,18,0.28,Acres,2001,32,,https://www.movoto.com/home/1930-white-dogwood-rd-apex-nc-27502-413_2334111
2372,359900,393752,361000,425000,,1002 Chickering Ct,3,3,152,31,0.35,Acres,2003,15,,https://www.movoto.com/home/1002-chickering-ct-apex-nc-27502-413_2331405
2361,347595,351789,342000,361000,5000,1290 Barn Cat Way,4,4,,,,,,,,https://www.movoto.com/home/1290-barn-cat-way-apex-nc-27502-413_2329871
2326,395900,376812,344000,440000,,919 Olive St,4,4,170,4,5663,Sqft,2018,0,,https://www.movoto.com/home/919-olive-st-apex-nc-27502-413_2165683
2308,349710,371588,339000,427000,5000,1282 Barn Cat Way Lot 212- Gibbons 3 #LOT 212- GIBBONS 3,4,4,152,33,2614,Sqft,2020,199,,https://www.movoto.com/home/1282-barn-cat-way-lot-212-gibbons-3-lot-212-gibbons-3-apex-nc-27502-413_2330973
2292,338900,,337000,362000,2000,1484 Salem Creek Dr #23,3,3,148,89,2614,Sqft,2020,100,,https://www.movoto.com/home/1484-salem-creek-dr-apt-23-apex-nc-27502-413_2320204
2284,350000,,336000,361000,1000,1488 Salem Creek Dr #21,3,3,153,89,2614,Sqft,2020,100,,https://www.movoto.com/home/1488-salem-creek-dr-apt-21-apex-nc-27502-413_2320202
2242,357900,320606,318000,359000,,2201 Red Knot Ln #159,4,4,160,6,1742,Sqft,2020,140,,https://www.movoto.com/home/2201-red-knot-ln-apt-159-apex-nc-27502-413_2336322
2242,323900,329574,318000,359000,12000,1111 Diamond Dove Ln #151,4,4,144,34,1742,Sqft,2020,140,,https://www.movoto.com/home/1111-diamond-dove-ln-apt-151-apex-nc-27502-413_2330720
2227,331290,334050,327000,339000,,2831 Dallas Valley Ln #46,4,4,149,4,1873,Sqft,2020,125,,https://www.movoto.com/home/2831-dallas-valley-ln-apt-46-apex-nc-27502-413_2336885
2227,331290,336277,327000,347000,3000,2804 Dallas Valley Ln #81,4,4,149,45,2091,Sqft,2020,125,,https://www.movoto.com/home/2804-dallas-valley-ln-apt-81-apex-nc-27502-413_2328861
2221,317400,322045,318000,331000,,673 Grand Central Sta #126,3,4,143,75,1307,Sqft,2020,163,,https://www.movoto.com/home/673-grand-central-sta-apt-126-apex-nc-27502-413_2322694
2218,389900,328264,315000,390000,5000,2123 Gregor Overlook Ln,3,3,176,50,4617,Sqft,2018,53,,https://www.movoto.com/home/2123-gregor-overlook-ln-apex-nc-27502-413_2200126
2214,337600,332100,325000,345000,,2833 Dallas Valley Ln #47,4,4,152,4,2352,Sqft,2020,125,,https://www.movoto.com/home/2833-dallas-valley-ln-apt-47-apex-nc-27502-413_2336827
2214,345000,400734,345000,454000,5000,104 Cranwell Ct,4,3,,,,,,,,https://www.movoto.com/home/104-cranwell-ct-apex-nc-27502-413_2335992
2214,324790,336528,325000,345000,3000,2806 Dallas Valley Ln #80,4,4,,,,,,,,https://www.movoto.com/home/2806-dallas-valley-ln-apt-80-apex-nc-27502-413_2328858
2213,334900,320885,316000,334000,,699 Grand Central Sta #136,3,4,151,39,1742,Sqft,2020,163,,https://www.movoto.com/home/699-grand-central-sta-apt-136-apex-nc-27502-413_2329799
2213,329900,320885,316000,334000,,671 Grand Central Sta #125,3,4,,,,,,,,https://www.movoto.com/home/671-grand-central-sta-apt-125-apex-nc-27502-413_2325584
2209,314900,320305,316000,329000,,655 Grand Central Sta #118,3,4,143,41,1307,Sqft,2020,163,Open 8/21,https://www.movoto.com/home/655-grand-central-sta-apt-118-apex-nc-27502-413_2329433
2205,314900,319725,315000,329000,,657 Grand Central Sta #119,3,4,143,11,1307,Sqft,2020,163,,https://www.movoto.com/home/657-grand-central-sta-apt-119-apex-nc-27502-413_2335490
2187,319900,317115,313000,330000,,697 Grand Central Sta #135,3,4,146,39,1307,Sqft,2020,163,,https://www.movoto.com/home/697-grand-central-sta-apt-135-apex-nc-27502-413_2329811
2170,325000,316820,312000,326000,4000,1034 Brownsmith Dr,4,4,150,38,2178,Sqft,2017,119,,https://www.movoto.com/home/1034-brownsmith-dr-apex-nc-27502-413_2330304
2169,315000,318843,308000,325000,5000,1009 Drayman Pl,3,4,,,,,,,,https://www.movoto.com/home/1009-drayman-pl-apex-nc-27502-413_2324281
2168,338240,323032,319000,338000,3000,2808 Dallas Valley Ln #79,4,4,156,45,2004,Sqft,2020,125,,https://www.movoto.com/home/2808-dallas-valley-ln-apt-79-apex-nc-27502-413_2328855
2168,329000,325200,319000,338000,,2849 Dallas Valley Ln #51,3,4,152,63,1873,Sqft,2020,125,Open 8/18,https://www.movoto.com/home/2849-dallas-valley-ln-apt-51-apex-nc-27502-413_2325148
2161,330900,347921,322000,370000,1000,1606 Brussels Dr #19,3,3,,,,,,,,https://www.movoto.com/home/1606-brussels-dr-apt-19-apex-nc-27502-413_2332107
2156,340900,344960,321000,369000,1000,1610 Brussels Dr #17,3,3,158,28,3049,Sqft,2020,100,,https://www.movoto.com/home/1610-brussels-dr-apt-17-apex-nc-27502-413_2332091
2156,345900,,321000,369000,2000,1482 Salem Creek Dr #24,3,3,160,89,2614,Sqft,2020,100,,https://www.movoto.com/home/1482-salem-creek-dr-apt-24-apex-nc-27502-413_2320205
2122,304900,303446,301000,306000,5000,1046 Brownsmith Dr,4,4,144,31,1742,Sqft,2018,119,,https://www.movoto.com/home/1046-brownsmith-dr-apex-nc-27502-413_2196180
2109,299900,301587,299000,302000,11000,1115 Diamond Dove Ln #153,4,4,142,31,1742,Sqft,2020,140,,https://www.movoto.com/home/1115-diamond-dove-ln-apt-153-apex-nc-27502-413_2331534
2109,299900,301587,299000,302000,9000,1119 Diamond Dove Ln #155,4,4,,,,,,,,https://www.movoto.com/home/1119-diamond-dove-ln-apt-155-apex-nc-27502-413_2330713
2100,316000,306600,300000,315000,,1021 Drayman Pl,3,4,150,42,2178,Sqft,2018,119,,https://www.movoto.com/home/1021-drayman-pl-apex-nc-27502-413_2308397
2094,299900,299442,297000,299000,8000,1123 Diamond Dove Ln #157,4,4,143,31,1742,Sqft,2020,140,,https://www.movoto.com/home/1123-diamond-dove-ln-apt-157-apex-nc-27502-413_2331624
2094,299900,299442,297000,299000,9000,1121 Diamond Dove Ln #156,4,4,143,31,1742,Sqft,2020,140,,https://www.movoto.com/home/1121-diamond-dove-ln-apt-156-apex-nc-27502-413_2331592
2094,299900,299442,297000,299000,11000,1117 Diamond Dove Ln #154,4,4,143,31,1742,Sqft,2020,140,,https://www.movoto.com/home/1117-diamond-dove-ln-apt-154-apex-nc-27502-413_2331557
2094,299900,,297000,299000,12000,1113 Diamond Dove Ln #152,4,4,143,39,1742,Sqft,2020,140,,https://www.movoto.com/home/1113-diamond-dove-ln-apt-152-apex-nc-27502-413_2329977
2068,308790,328812,304000,354000,,1397 Herb Garden Way,4,4,149,33,2614,Sqft,2020,199,,https://www.movoto.com/home/1397-herb-garden-way-apex-nc-27502-413_2331091
2068,303790,335016,304000,383000,,1395 Herb Garden Way,4,4,147,33,2614,Sqft,2020,199,,https://www.movoto.com/home/1395-herb-garden-way-apex-nc-27502-413_2331088
2063,418910,371340,342000,439000,800,2970 Lemnos Dr,3,3,203,69,6534,Sqft,2020,65,,https://www.movoto.com/home/2970-lemnos-dr-apex-nc-27502-413_2323945
2062,295000,294866,295000,295000,,2247 Chattering Lory Ln,4,4,143,12,1742,Sqft,2018,140,,https://www.movoto.com/home/2247-chattering-lory-ln-apex-nc-27502-413_2335152
2037,345000,332031,318000,365000,,1788 Town Home Dr,3,3,169,5,9148,Sqft,2000,25,,https://www.movoto.com/home/1788-town-home-dr-apex-nc-27502-413_2336621
1980,375000,334620,293000,392000,5000,990 Shoofly Path,3,3,189,45,4356,Sqft,2013,83,,https://www.movoto.com/home/990-shoofly-path-apex-nc-27502-413_2125922
1974,326950,343476,292000,373000,8000,1805 Misty Hollow Ln,4,3,,,,,,,,https://www.movoto.com/home/1805-misty-hollow-ln-apex-nc-27502-413_2326437
1942,322900,320430,307000,332000,1000,1413 Chipping Dr #40,3,3,166,12,3049,Sqft,2020,100,,https://www.movoto.com/home/1413-chipping-dr-apt-40-apex-nc-27502-413_2335242
1938,320900,313956,289000,331000,1000,1409 Chipping Dr #38,3,3,166,12,2614,Sqft,2020,100,,https://www.movoto.com/home/1409-chipping-dr-apt-38-apex-nc-27502-413_2335234
1938,330900,312018,297000,331000,1000,1604 Brussels Dr #20,3,3,171,28,2614,Sqft,2020,100,,https://www.movoto.com/home/1604-brussels-dr-apt-20-apex-nc-27502-413_2332116
1935,329900,344430,302000,393000,10000,307 Piney Woods Ln,3,3,,,,,,,,https://www.movoto.com/home/307-piney-woods-ln-apex-nc-27502-413_2173236
1927,313900,312174,281000,330000,1000,1411 Chipping Dr #39,3,3,163,12,2178,Sqft,2020,100,,https://www.movoto.com/home/1411-chipping-dr-apt-39-apex-nc-27502-413_2335239
1870,300000,269280,267000,299000,,607 Old Mill Village Dr,3,3,160,12,1307,Sqft,2013,146,Open 8/22,https://www.movoto.com/home/607-old-mill-village-dr-apex-nc-27502-413_2335353
1861,396990,314509,301000,396000,,3176 Mavisbank Cir,3,2,213,8,6490,Sqft,2020,69,,https://www.movoto.com/home/3176-mavisbank-cir-apex-nc-27502-413_2336143
1816,265000,317800,265000,360000,,772 Treviso Ln,3,3,,,,,,,,https://www.movoto.com/home/772-treviso-ln-apex-nc-27502-413_2335123
1765,350000,282400,258000,349000,10000,554 Chessie Sta,3,3,198,18,2614,Sqft,2017,163,,https://www.movoto.com/home/554-chessie-sta-apex-nc-27502-413_2334156
1763,289500,308525,275000,331000,3000,108 Shining Star Ct,3,3,,,,,,,,https://www.movoto.com/home/108-shining-star-ct-apex-nc-27502-413_2326943
1745,294990,279200,251000,295000,5000,430 Oak Pine Dr #375,3,4,169,485,784,Sqft,2019,111,,https://www.movoto.com/home/430-oak-pine-dr-apt-375-apex-nc-27502-413_2249906
1715,307000,296695,276000,307000,3000,503 S Coalport Dr,3,3,179,31,0.47,Acres,1998,32,,https://www.movoto.com/home/503-s-coalport-dr-apex-nc-27502-413_2188379
1533,286900,260610,239000,288000,6000,815 Homestead Park Dr,3,3,187,38,6534,Sqft,1999,13,,https://www.movoto.com/home/815-homestead-park-dr-apex-nc-27502-413_2321004
1433,270000,242177,224000,269000,2000,921 Homestead Park Dr,3,2,,,,,,,,https://www.movoto.com/home/921-homestead-park-dr-apex-nc-27502-413_2329717
1227,229500,207363,179000,243000,,207 Sparta Ln,3,2,187,11,3920,Sqft,1999,5,,https://www.movoto.com/home/207-sparta-ln-apex-nc-27502-413_2192396
